Chapter;Latin Text;Old High German Text;Biblical References
XVII, 3; Et dixit ei Nathanahel: a Nazareth potest aliquid boni esse? Dicit ei Philippus: veni et vide.;Thó quad imo Nathanahel: fón Nazareth mág sihuuaz guotes uuesan? Thó quad imo Philippus: quim inti gisih.;Jn 1 46
XVII, 4; Vidit Ihesus Nathanahel venientem ad se et dicit de eo: ecce vere Israhelita, in quo dolus non est.;Gisah thie heilant Nathanahelan quementan zi imo inti quad fón imo: thiz ist thie uuaro Israhelita, in themo balo nist.;Jn 1 47
XVII, 5; Dicit ei Nathanahel: unde me nosti? Respondit Ihesus et dixit ei: priusquam te Philippus vocaret, cum esses sub ficu, vidi te.;Thó quad imo Nathanahel: uuanan uueistú mih? Antlingota ther heilant inti quad imo: ér thanne dih Philippus gruozti mit thiu thú uuari untar themo fígboume, gisah thih.;Jn 1 48
XVII, 6;Respondit ei Nathanahel et ait: rabbi, tu es filius dei, tu es rex Israhel.  Respondit Ihesus et dixit ei: quia dixi tibi: vidi te sub ficu, credis: maius his videbis.;Thó antuurtita imo Nathanahel inti quad imo: meistar, thú bist gotes sún, thú bist Israhelo cuning. Thó antlingota imo ther heilant inti quad imo: bithiu uuanta ih thir quad: gisah thih untar themo figboume, giloubis: thesen mêr gisihist thu.;Jn 1 49-50
XVII, 7; Et dicit ei: amen amen dico vobis, videbitis cælum apertum et angelos dei ascendentes et descendentes supra filium hominis.;Inti quad imo: uuar sagen ih iu, ír gisehet himil offanan inti gotes engila úfstigante inti nidarstigante ubar then mannes sún.;Jn 1 51
XVII, 8;Et regressus est Ihesus in virtute spiritus in Galileam, et fama exiit per universam regionem de illo,  et ipse docebat in sinagogis eorum et magnificabatur ab omnibus.;Inti uuidarfuor tho ther heilant in themo megine geistes in Galileam, inti liumunt úzgieng thurah alle thie lantscáf fon imo, inti hér lérta in iro samanungu inti uuás gilobot fon allen.;Lc 4 14-15
XVIII, 1;Et venit Nazareth, ubi erat nutritus, et intravit secundum consuetudinem suam die sabbati in synagogam, et surrexit legere,  et traditus est illi liber prophetae Esaiæ.;Thó quam hér zi Nazareth, thar hér uuas gizogan, inti ingieng after sinero giúuonu in sambaztág in thie samanunga, inti árstuont úf zi lesanne, inti salta mán imo then buoh thés uuizagen Esaies.;Lc 4 16-17
XVIII, 2;Et ut revolvit librum, invenit locum ubi scriptum erat:  spiritus domini super me, propter quod unxit me, evangelizare pauperibus misit me,  predicare captivis remissionem et cæcis visum, dimittere confractos in remissionem, predicare annum domini acceptum et diem retributionis.;So hér thén buoh inteta, fant thie stat thár giscriban uúas: truhtines geist ubar mih, thuruh thaz salbota mih, inti zi gótspellonne thurftigen santa hér mih, zi predigonne háften fórlaznessi inti blinten gisiht, zi fórlazenne gibrochanne in fórlaznessi, zi predigonne antphengi iár truhtines inti tág ítlones.;Lc 4 18
XVIII, 3; Et cum plicuisset librum, reddidit ministro et sedit, et omnium in sinagoga oculi erant intendentes in eum.;Inti mit thiu hér thén buoh biteta, gab ín themo ambahte inti sáz, inti allero ougun in thero samanungu uuarun scouuonti in ínan.;Lc 4 20
XVIII, 4; Coepit autem dicere ad illos: quod hodie impleta est hæc scriptura in auribus vestris.;Bigonda hér tho quedan zi ín: tház hiutu gifullit ist thiz giscrib in íuuaren orun.;Lc 4 21
XVIII, 5; Exinde coepit Ihesus predicare et dicere: quoniam impletum est tempus poenitentiam agite, et credite in evangelio, adpropinquavit enim regnum caelorum.;Fón danan bigonda thér heilant predigon inti quedan: uuanta gifullit ist zít, tuót rivvua inti giloubet themo euangelio, nahit sih nú himilo ríhhi.;"Mt 4 17; Mc 1 15"
XIX, 1; Ambulans autem iuxta mare Galileæ vidit duos fratres, Simonem qui vocatur Petrus et Andream fratrem eius, mittentes rete in mare, erant enim piscatores.;Ganganti náh themo sevvu Galileæ gisáh zuuene bruoder, Simonem, thie giheizan ist Petrus, inti Andream sinan bruoder, sententi iro nezzi in séo, uuanta sie uuarun fiscara.;Mt 4 18
XIX, 2;Et ait illis: venite post me, et faciam vos fieri piscatores hominum.  At illi continuo relictis retibus secuti sunt eum.;"Inti quad hér ín: quemet after mír, inti íh tuon ívvuih úuesan manno fiscara; sie thó sliumo fórlázenen nezzin folgetun imo.";Mt 4 19-20
XIX, 3;"Et procedens inde vidit alios duos fratres, Iacobum Zeboedæi et Iohannem fratrem eius in navi cum Zebædæo patre eorum, reficientes retia sua, et vocavit eos;  illi autem statim relictis retibus et patre secuti sunt eum.";"Thanan tho furdir ganganti gisah andare zuene bruoder, Iacobum Zebedeoen sún, inti Iohannem sinan bruoder in skeffe mít Zebedeoén iro fater, rihtenti iro nezi, inti gihalota sie; sie sliumo forlazzanen nezin inti fater folgetun imo.";Mt 4 21-22
XIX, 4;Factum est autem, cum turbe inruerent in eum, ut audirent verbum dei, et ipse stabat secus stagnum Genesaret,  et vidit duas naves stantes secus stagnum, piscatores autem descenderant et lavabant retia.;"Vuard thó gitán, mít thiu thie menigi ánafielun in inan, thaz sie gihórtin gotes uuort, stuont hér náh themo uuage Genesareth, inti gisah zuei skef stantantu náh themo uuage; thie fiscara stigun nidar, thaz sie fleuuitin iro nezzi.";Lc 5 1-2
XIX, 5; Ascendens autem ipse in unam navem, quae erat Simonis, rogavit eum a terra reducere pussillum, et sedens docebat de navicula turbas.;Ársteig hér thó in einaz skef thaz thar uuas Simones, bát hér inan, thaz her íz fon erdu arleitti ein luzzil, inti sizzenti lérta fon themo skeffe thie menigi.;Lc 5 3
XIX, 6;Ut cessavit autem loqui, dixit ad Simonem: duc in altum, et laxate retia vestra in capturam.  Et respondens Simon dixit illi: præceptor, per totam noctem laborantes nihil coepimus, in verbo autem tuo laxabo rete.;So hér thó bilan zi sprehhanne, tho quad her zí Simone: scalt thaz skef in tiufi, inti zilazet iuuuaru nezziu zi fahenne. Thó antuurtita Simon inti quad imo: meistar, alla thesa náht arbeitente niouuiht ni gifiengumes, in thinemo uuorte íntlazu ih thaz nezzi.;Lc 5 4-5
XIX, 7;"Et cum hoc fecissent, concluserunt piscium multitudinem copiosam; rumpebatur autem rete eorum.  Et annuerunt sociis qui erant in alia navi, ut venirent et adiuvarent eos. Et venerunt et impleverunt ambas naviculas ita ut mergerentur.";Mit thiu sie thó thaz tátun, bifiengun fisco ginuhtsama menigi, brast thaz iro nezzi. Bouhnitun iro ginozun thie thár uuarun in andaremo skeffe, thaz sie quamin inti ín hulphin. Quamun sie thó inti gifultun beidu thiu skef só thaz siu suffun.;Lc 5 6-7
XIX, 8;Quod cum videret Simon Petrus, procidit ad genua Ihesu dicens: exi a me, quia homo peccator sum, domine.  Stupor enim circumdederat eum et omnes qui cum illo erant in captura piscium quam coeperant.  Similiter autem Iacobum et Iohannem filios Zebedæi, qui erant socii Simonis.;Mit thiu thaz thó gisah Simon Petrus, fiel zi thés heilantes knevvun inti quad: argang fon mír, uuanta íh suntig man bin, truhtin. Forhta bifieng inan inti alle thie mit imo uuarun in thero fisco fahungu thie sie thó gifiengun, samasó Iacobum inti Iohannem Zebedeoen suni, bithiu sie uuarun Simones ginoza.;Lc 5 8-9
XIX, 9;Et ait ad Simonem Ihesus: noli timere, ex hoc iam homines eris capiens. Et crediderunt in eum discipuli eius, et subductis a terra navibus relictis omnibus secuti sunt eum.;Thó quad thér heilant zi Simone: ni curi thír forhten, fon hinan giu fahistu man. Giloubtun in inan thó sine iungiron inti árleitten fon erdu skeffun forlazenen allen folgetun imo.;"Lc 5 11; J. 2 11"
XX, 1; Et cum transiret inde Ihesus, vidit hominem sedentem ad teloneo, Matheum nomine, et ait illi: sequere me.;Mit thiu their heilant thanana fuor, gisah man sizzantan zi zolle, thie Matheus uuas giheizan, inti quad imo: folge mír.;Mt 9 9
XX, 2; Et surgens relictis omnibus secutus est eum.;Her thó arstantanti allen forlazanen folgeta imo.;Lc 5 28
XXI, 1; Post haec venit Ihesus et discipuli eius in Iudeam terram et illic demorabatur cum eis et baptizabat.;After thiu quam ther heilant inti sine iungiron in Iudeno erda inti thár uuoneta mít in inti toufta.;Jn 3 22
XXI, 2;"Erat autem et Iohannes baptizans in Enon iuxta Salim, quia aquae multæ erant illic, et adveniebant et baptizabantur;  nondum enim missus fuerat in carcerem Iohannes.";"Vuas óuh tho Iohannes toufenti in Enon nah Salím, uuanta thar managu uuazzar uuarun, inti quamun zi imo inti vvurdun gitoufte; nóh thanne ni uuas Iohannes gisentit in carcari.";Jn 3 23-24
XXI, 3; Facta est ergo quæstio ex discipulis Iohannis cum Iudæis de purificatione.;Vuard thár reda gitán fon thén iungiron Iohannes mit thén Iudeon fon thero subarnessi.;Jn 3 25
XXI, 4; Et venerunt ad Iohannem et dixerunt ei: rabbi, qui erat tecum trans Iordanem, cui tu testimonium perhibuisti, ecce hic baptizat, et omnes veniunt ad eum.;Inti quamun zi Iohanne inti quadun imo: meistar, thie thar mit thir uuas ubar Iordanen, themo thú giuuizscaf sagetus, senu thér toufit hiér, inti alle quement zi imo.;Jn 3 26
XXI, 5;Respondit Iohannes et dixit: nou potest homo quicquam accipere, nisi ei fuerit datum de cælo.  Ipsi vos mihi testimonium perhibetis quod dixerim ego: non sum Christus, sed quia missus sum ante illum.;Thó antlingita Iohannes inti quad: ni mág ther man iouuiht intphahén, noba imo íz gigeban uuerde fon himile. Ír selbon saget mír giuuizscáf thaz ih quad: ih ni bin Crist, uzouh bim gisentit furi inan.;Jn 3 27-28
XXI, 6;Qui habet sponsam sponsus est, amicus autem sponsi est qui stat et audit eum, gaudio gaudet propter vocem sponsi. Hoc ergo gaudium meum impletum est.  Illum oportet crescere, me autem minui.;"Thie brut habet thie ist brutigomo; ther ist thes brutigomen friunt thie thar stentit inti horit inan, inti giueen giuihit thuruh stemma thes brutigomen. Thie mín giueo ist gifullit, ín gilimphit uuahsen, mih zi minnironne.";Jn 3 29-30
XXI, 7;"Qui desursum venit supra omnes est, qui est de terra de terra est et de terra loquitur. Qui de cælo venit supra omnes est,  et quod vidit et audivit hoc testatur, et testimonium eius nemo accepit;  qui accepit testimonium eius signavit quia deus verax est;  quem enim misit deus, verba dei loquitur. Non enim ad mensuram dat deus spiritum.";"Thie thar fon obana quam, ther ist ubar alle, thie thar ist fon erdu, fon erdu ist inti fon erdu sprihhit. Thie thar fon himile qúam, ther ist ubar alle, inti thaz hér gisah inti gihorta, thaz cundit, inti sine giuuizscaf nioman íntphieng; thie thar intphieng sine giuuizscaf, ther gizeihhonota thaz gót uúar ist; then got santa, ther sprihhit gotes uúort, ni gibit imo in mezze got geist.";Jn 3 31-32
XXI, 8; Qui credit in filium, habet vitam aeternam, qui autem incredulus est filio, non videbit vitam, sed ira dei manet super eum.;"Thie thar giloubit in thén sún, ther habet eúuin líb; thie thar ungiloubfol ist themo sune, ni gisihit líb, úzouh gotes gibuluht uuonet ubar inán.";Jn 3 36
XXI, 9;Ut ergo cognovit Ihesus quia audierunt Pharisæi quia Ihesus plures discipulos facit et baptizat quam Iohannes  quamquam Ihesus non baptizaret, sed discipuli eius;Só ther heilant tho furstuont thaz thie Pharisei gihortun thaz ther heilant manageron iungiron tati inti toufti thanne Iohannes thóh uuidaro ther heilant ni toufti, nibi sine iungiron;Jn 4 1-2
XXI, 10;Et quod Iohannes traditus esset, J. 4, -reliquid Iudeam et abiit iterum in Galileam.;Inti thaz Iohannes giselit uúas, fúrliéz thó Iudeam inti gieng abur in Galileam.;Mt 4 12-3
XXI, 11;Cum autem audisset quod Iohannes traditus esset, secessit in Galileam.  Et relicta civitate Nazareth venit et habitavit in Capharnaum maritimam in finibus Zabulon et Neptalim.;Mit thiu her gihorta thaz Iohannes giselit uúas, fuor in Galileam, inti forlazanero burg Nazareth quam thó inti artota in Capharnaum siolihheru in then entin Zabulon inti Neptalim.;Mt 4 12-13
XXI, 12;Ut impleretur quod dictum est per Esaiam prophetam:  terra Zabulon et terra Neptalim, via maris trans Iordanen, Galileæ gentium,  populus qui sedebat in tenebris lucem vidit magnam, et sedentibus in regione et in umbra mortis lux orta est eis.;Thaz gifullit vvurdi thaz thar giquetan uúas thuruh Esaiam then uuizagon: erda Zabulon inti erda Neptalim, uueg seuues uuidar Iordanen, Galilea theotono, folc thaz thar saz in finstarnessin gisah mihil lioht, inti sizzanten in lantskeffi tódes scuuuen lioht gieng ín úf.;Mt 4 14-15
XXII, 1; Et circuibat Ihesus totam Galileam, docens in sinagogis eorum et prædicans evangelium regni et sanans omnem languorem et omnem infirmitatem in populo.;Inti umbigieng ther heilant alla Galileam, lerenti in iro samanungun inti predigonti gótspel ríhhes, inti heilta iogiuuelihha suht inti iogiuuelihha ummaht in themo folke.;Mt 4 23
XXII, 2; Et abiit opinio eius in totam Syriam, et obtulerunt ei omnes male habentes variis languoribus et tormentis conprehensos, et qui demonia habebant, et lunaticos et paralyticos, et curavit eos.;Inti árgieng sín liumunt in alla Syria, inti bráhtun imo alle ubil habante inti mít messalihhen suhtin inti mit uuizziu bifangane, inti thie thár habetun diuual, inti manódsioche inti bettisiohhe, inti giheilta sie.;Mt 4 24
XXII, 3; Et secutæ sunt eum turbæ multæ de Galilea et Decapoli, ex Hierusolimis et Iudea, et de trans Iordanen.;Inti folgetun imo manage menigi fón Galilea inti fon Decapoli inti fon Hierusalem inti fon Iudeon inti fon ubar Iordanen.;Mt 4 25
XXII, 4;"Et detinebant illum, ne discederet ab eis;  quibus ille ait: quia et aliis civitatibus oportet me evangelizare regnum dei, quia ideo missus sum.";"Inti bihabetun inan, thaz fon ín ni áruuizi; then quad hér: uuanta andren burgin gilimphit mir zi gotspellonne gotes rihhi, uuanta bithiu bín ih gisentit.";Lc 4 42-43
XXII, 5;"Et cum vidisset turbam, ascendit in montem; et cum sedisset, vocavit ad se quos voluit ipse, et venerunt ad eum,  et fecit ut essent duodecim cum illo, quos et apostolos nominavit.";"Mít thiu hér gisah thie menigi, steig ufán berg; mit thiu hér gisaz, giholota thie zi imo thie hér uuolta, inti quamun zi imo, inti teta thaz uuarun zueliui mit imo, thie namta her boton.";"Mt 5 1; Mc 3 13; Lc 6 13-14"
XXII, 6;Simonem, quem cognominavit Petrum, et Andream fratrem eius, Iacobum Zebedei et Iohannem fratrem Iacobi, quibus inposuit nomina Boanerges, quod est filii tonitrui, Philippum et Bartholomeum,  Matheum et Thomam, Iacobum Alphei et Simon qui vocatur Zelotes, et Iudam Iacobi et Iudam Scarioth, qui fuit proditor.;Simonem, then her andaremo namen hiez Petrum, inti Andream sinan bruoder inti Iacobum Zebedeoen sun inti Iohannem Iacobes bruoder, then scuóf hér namon, thaz sie hiezzin Boanerges, thaz ist arrekit thonares kind, Philippum et Bartholomeum, Matheum inti Thomam, Iacobum Alpheen sún inti Simonem thie thar ist giheizan Zelotes, inti Iudam Iacobes bruoder inti Iudam anderemo namen Scarioth, thie uuas meldari.;"Mt 5 14; Mc 3 17; Lc 6 14-15"
XXII, 7; Et accesserunt ad eum discipuli eius, et elevatis oculis in eos aperiens os suum docebat eos dicens:;Inti giengun tho zi imo sine iungiron, inti úfarhabanen sinen ougon in sie íntteta sinan mund, lérta sie sús quedanti:;"Mt 5 1; Lc 6 20; Mt 5 2"
XXII, 8; Beati pauperes spiritu, quoniam ipsorum est regnum cælorum.;Salige sint thie thar arme sint in geiste, uuanta thero ist gotes rihhi.;Mt 5 3
XXII, 9; Beati mites, quoniam ipsi possidebunt terram.;Salige sint manduuare, uuanta thie bisizzent erda.;Mt 5 4
XXII, 10; Beati qui lugent, quoniam ipsi consolabuntur.;Salige sint thie thar vvuofent, uuanta thie uuerdent gifluobrit.;Mt 5 5
XXII, 11; Beati qui esuriunt et sitiunt iustitiam, quoniam ipsi saturabuntur.;Salige sint thie thar hungerent inti thurstent reht, uuanta thie uuerdent gisatote.;Mt 5 6
XXII, 12; Beati misericordes, quoniam ipsi misericordiam consequentur.;Salige sint thie thar sint miltherze, uuanta sie folgent miltidun.;Mt 5 7
XXII, 13; Beati mundo corde, quoniam ipsi deum videbunt.;Salige sint thie thar sint subere in herzon, uuanta thie gisehent got.;Mt 5 8
XXII, 14; Beati pacifici, quoniam filii dei vocabuntur.;Salige sint thie thar sint sibbisame, uuanta sie gotes barn sint ginemnit.;Mt 5 9
XXII, 15; Beati qui persecutionem patiuntur propter iustitiam, quoniam ipsorum est regnum cælorum.;Salige sint thie thar ahtnessi sint tholenti thuruh reht, uuanta iro ist himilo rihhi.;Mt 5 10
XXII, 16; Beati estis cum maledixerint vobis et oderint vos homines et persecuti vos fuerint et dixerint omne malum adversum vos mentientes, et cum separaverint vos et exprobraverint et eiecerint nomen vestrum tamquam malum propter filium hominis.;Salige birut ír, mit thiu iu fluohhont inti hazzont iuúih man inti ahtent iuúar inti quedent ál ubil uuidar íu liogente, mit thiu sie iuuih ziskeident inti itiuuizzont inti áruuerphent iuuaran namon samasó ubil thuruh then mannes sún.;"Mt 5 11; Lc 6 22"
XXII, 17; Gaudete in illa die et exultate, quoniam merces vestra copiosa est in caelis.;Giuehet in themo tage inti blidet, uuanta bithiu iuuar mieta ist ginuhtsam in himilon.;"Mt 5 23; Mt 5 12"
XXII, 18; Sic enim persecuti sunt prophetas qui fuerunt ante vos patres eorum.;Só áhtitun sie thero uuizagono thie thar fora íu uuarun, iro fatera.;Lc 6 23
XXIII, 1; Veruntamen væ vobis divitibus, quia habetis consolationem vestram.;Thoh uuidaro uúe íu otagon, uuanta ir habet íuuuera fluobara.;Lc 6 24
XXIII, 2; Væ vobis qui saturati estis, quia esurietis.;Uue íu thie thar gisatote birut, bithiu uuanta ír hungeret.;Lc 6 25
XXIII, 3; Væ vobis qui ridetis nunc, quia lugebitis et flebitis.;Uue íu thie nú lahhet, bithiu uuanta ír vvuofet inti riozet.;
XXIII, 4; Væ cum bene vobis dixerint omnes homines: secundum hæc faciebant pseudoprophetis patres eorum.;Uue íu mit thiu íu uuolaquædent alle man: after thesen tatun luggen uuizagon iro fatera.;Lc 6 26
XXIV, 1; Sed vobis dico qui auditis: vos estis sal terræ.;Uzouh iu thie dar gihoret, quidu ih: ír birut salz erda.;"Lc 6 27; Mt 5 13"
XXIV, 2; Quodsi sal evanuerit, in quo salietur?;Oba thaz salz áritalet, in hiu selzit man iz thanne?;
XXIV, 3; Ad nihilum valet ultra, nisi ut proiciatur foras et conculcetur ab hominibus.;Zi niouuihtu mag íz elihor, nibi thaz man íz úzuuerphe, inti si fúrtretan fon mannun.;
XXV, 1; Vos estis lux mundi. Non potest civitas abscondi supra montem posita.;Ír birut mittilagartes lioht. Ni mag burg uuerdan giborgan ubar berg gisezzitu.;Mt 5 14
XXV, 2; Neque accendunt lucernam et ponunt eam sub modio neque sub lecto neque in loco abscondito neque sub vaso, sed super candelabrum, ut et luceat omnibus qui in domo sunt.;Noh intprennent lioht inti sezzent íz untar mutti noh untar betti noh untar giborgana steti noh untar faz, úzouh ubar kentilastab, thaz íz liuhte allen then in húse sint.;"Mt 5 15; Mc 4 21; Lc 11 33"
XXV, 3; Sic luceat lux vestra coram hominibus, ut videant vestra bona opera et glorificent patrem vestrum qui est in cælis.;Só liuhte iuuar lioht fora mannon, thaz sie gisehén iuuaru guotu uuérc inti diurison iuuaran fater thie in himilon ist.;Mt 5 16
XXV, 4;" Nolite putare quoniam veni solvere legem aut prophetas; non veni solvere, sed adimplere.";"Ni curet uúanen thaz ih quami euúa zi losenne odo uuizagon; ni quam ih zi losenne, úzouh zi fullenne.";Mt 5 17
XXV, 5; Amen quippe dico vobis: donec transeat cælum et terra, iota unum aut unus apex non praeteribit ex lege, donec omnia fiant.;Ih sagen íu uúar: ér thanne zifare himil inti erda, ein .i. odo ein houbit ni furferit fon thero evvu, ér thanne siu elliu uuerdent.;Mt 5 18
XXV, 6; Qui ergo solverit unum de mandatis istis minimis et docuerit sic homines, minimus vocabitur in regno caelorum. Qui autem fecerit et docuerit, hic magnus vocabitur in regno caelorum.;Ther thie zilosit einaz fon then minnistun bibotun inti lerit só man, minnisto ist giheizan in himilo rihhe. Thie thar tuot inti lérit, thie ist mihhil giheizan in himilo rihhe.;Mt 5 19
XXV, 7; Dico enim vobis: quia nisi habundaverit iustitia vestra plus quam scribarum et Phariseorum, non intrabitis in regnum caelorum.;Ih quidu íu: ni sí thaz ginuhtsamo iuúar reht mér thanne thero scribaro inti thero Phariseorum, ni get ír in himilo rihhi.;Mt 5 20
XXVI, 1; Audistis quia dictum est antiquis: non occides, qui autem occiderit, reus erit iudicio.;Ír gihórtut thaz giquetan uúas then altun: ni uúis manslago: thie thar slehit, ther ist sculdig duomes.;Mt 5 21
XXVI, 2; Ego autem dico vobis, quia omnis qui irascitur fratri suo, reus erit iudicio.;Ih quidu íu, thaz iogiuuelih ther sih gibilgit zi sinemo bruoder, ther ist sculdig duomes.;Mt 5 22
XXVI, 3; Qui autem dixerit fratri suo racha, reus erit concilio.;Ther the quidit sinemo bruoder italo, ther ist sculdig thinges.;
XXVI, 4; Qui autem dixerit fatue, reus erit gehenne ignis.;Ther the quidit tumbo, ther ist sculdig hellafiures.;
XXVII, 1;Si ergo offeres munus tuum ad altare et ibi recordatus fueris quia frater tuus habet aliquid adversum te,  relinque ibi munus tuum ante altare et vade prius reconciliari fratri tuo, et tunc veniens offer munus tuum.;Oba thu bringis thina geba zi altare inti thar thanne gihugis thaz thin bruoder habet sihuúaz uúidar thír, fórlaz thanne thar thina geba fora themo altare, fár ér zi gisuonenne thih mít thinemo bruoder, thanne quementi bring thine geba.;Mt 5 23-24
XXVII, 2; Esto consentiens adversario tuo cito, dum es in via cum eo, ne forte tradat te adversarius iudici, et iudex tradat te ministro, et in carcerem mittaris.;Vuis gihengig thinemo uuidaruúorten sliumo, mit thiu thu bist in uuege mit imo, min odouuan thih sele thin uuidaruuorto themo tuomen, inti ther tuomo sele thih themo ambahte, inti sentit man thih thanne in carcari.;Mt 5 25
XXVII, 3; Amen dico tibi: non exies inde, donec reddas novissimum quadrantem.;Uúar sagen ih thir: ni ges thú thanan úz, ér thanne thu giltis then iungiston scáz.;Mt 5 26
XXVIII, 1;Audistis quia dictum est antiquis: non moechaberis.  Ego autem dico vobis, quoniam omnis qui viderit mulierem ad concupiscendum eam, iam moechatus est eam in corde suo.;Ír gihortut thaz giquetan ist then altun: ni furligi thíh. Ih quidu íu, thaz iogiuuelih thie thar gisihit uúib sie zi geronne, iu habet sia forlegana in sinemo herzen.;Mt 5 27-28
XXVIII, 2;" Quodsi oculus tuus dexter scandalizat te, erue eum et proice abs te; expedit enim tibi ut pereat unum membrorum tuorum, quam totum corpus tuum mittatur in gehennam.";Oba thin zesuuua ouga thih bisuihhe, árlosi íz thanne inti áruuirph íz fon thir: bitherbi ist thir thaz fúruuerde ein thinero lido halt, thanne ál thin lihhamo si gisentit in hellafuir.;Mt 5 29
XXVIII, 3;" Et si dextera manus tua scandalizat te, abscide eam et proice abs te; expedit enim tibi ut pereat unum membrorum tuorum, quam totum corpus tuum eat in gehennam.";Inti oba thin zesuúua hant thih bisuihhe, hou sie ába inti uuirph sia fon thír: biderbi ist thir thaz fúruuerde ein thinero lido halt, thanne al thin lihhamo gange in hellafuir.;Mt 5 30
XXIX, 1; Dictum est autem: quicunque dimiserit uxorem suam, det illi libellum repudii.;Íz ist giquetan: só uúer so fúrlaze sina quenun, gebe iru buoh thanatribes.;Mt 5 31
XXIX, 2; Ego autem dico vobis, quia omnis qui dimiserit uxorem suam, excepta fornicationis causa, facit eam moechari, et qui dimissam duxerit, adulterat.;Thanne ih quidu íu, thaz thero giuuelih thie furlazit sina quenun, uzan sahha huores, tuot sia furligan, thie thar thie furlazanun hálot, huorot.;Mt 5 32
XXX, 1; Audistis quia dictum est antiquis: non perierabis, reddes autem domino iuramenta tua.;Ír gihórtunt thaz then altun giquetan uúas: ni fúrsuueri thih, uuanta thú giltis gote thina meineida.;Mt 5 33
XXX, 2;" Ego autem dico vobis: non iurare omnino; neque per cælum, quia thronus dei est,";"Thanne ih quidu íu, thaz mán zi thuruhslahti ni suuere; noh bi himile, uuanta hér gotes sedal ist;";Mt 5 34
XXX, 3; Neque per terram, quia scabillum est pedum eius, neque per Hierusolimam, quia civitas est magni regis.;Noh bi erdu, uuanta scamal ist sinero fuozzo, noh bi Hierusalem, uuanta siu ist burg thes mihhilen cuninges.;Mt 5 35
XXX, 4; Neque per caput tuum iuraberis, quia non potes unum capillum album facere aut nigrum.;Noh bi thinemo houbite suueres, uuanta thú ni maht ein hár thes fahses uuizaz gituon odo suarz.;Mt 5 36
XXX, 5;" Sit autem sermo vester: est est, non non; quod autem his abundantius est, a malo est.";"Sí iuúar uuort: ist ist, nist nist; so uuaz só ubar thaz ist, só ist íz fon ubile.";Mt 5 37
XXXI, 1; Audistis, quia dictum est: oculum pro oculo et dentem pro dente.;Ir gihórtut thaz giquetan ist: ouga furi ouga inti zán furi zán.;Mt 5 38
XXXI, 2; Ego autem dico vobis: non resistere malo.;Thanne ih quidu íu, thaz ír ni uuidarstantet ubile.;Mt 5 39
XXXI, 3; Sed si quis te percusserit in dextra maxilla tua, prebe illi et alteram.;Úzouh oba thih sihuúer slahe in thín zesuua uuanga, garauui imo thaz ander.;
XXXI, 4; Et illi qui vult tecum iudicio contendere et tunicam tuam tollere, remitte et pallium.;Inti themo uuolle mit thir in stríte bagen inti thina tunichun neman, fúrlaz imo thaz lahhan.;Mt 5 40
XXXI, 5; Et quicumque te angariaverit mille passus, vade cum illo alia duo.;Inti so uuer so thih thuinge thaz thu mit imo gést thúsunt scrito, fár mit imo andere zuene.;Mt 5 41
XXXI, 6; Qui petit a te, da ei, et volenti mutuare a te ne avertaris.;Thie fon thir sihuues bite, gíb imo, inti thie thár uuolle mit thír uuehslon, ni uuidaro iz thanne.;Mt 5 42
XXXI, 7; Et qui auferet quæ tua sunt, non repetas.;Inti thie thiu neme thiu thinu sint, ni eisco siu.;Lc 6 30
XXXI, 8; Et prout vultis ut faciant vobis homines, facite illis similiter.;Só ír uuollet thaz íu man tuon, só tuot ír ín selbsama.;Lc 6 31
XXXII, 1; Audistis quia dictum est: diligis proximum tuum et odio habebis inimicum tuum.;Ír gihortut thaz giquetan ist: minno thinan nahiston inti habe in hazze thinan fiant.;Mt 5 43
XXXII, 2; Ego autem dico vobis: diligite inimicos vestros, benefacite his qui vos oderunt, et orate pro persequentibus et calumniantibus vos.;Ih quidu íu: minnot iuuara fianta, tuot then uuola thie íuuih hazzont, inti betot furi thie háhtenton inti harmenton íu.;Mt 5 44
XXXII, 3; Ut sitis filii patris vestri qui in caelis est, quia solem suum oriri facit super malos et bonos et pluit super iustos et iniustos.;Thaz ír sít kind íuuares fater thie in himile ist, ther thie sunnun úfgangen tuot ubar ubile inti ubar guote inti reganot ubar rehte inti ubar únrehte.;Mt 5 45
XXXII, 4; Si enim diligatis eos qui vos diligunt, quam mercedem habebitis? nonne et publicani hoc faciunt?;Oba ir thie minnot thie iuuih minnont, uuelihha mieta habet ír thanne? eno ni tuont thaz thie firnfollun mán?;Mt 5 46
XXXII, 5; Et si benefeceritis his qui bene vobis faciunt, quæ vobis est gratia? siquidem et peccatores hoc faciunt.;Inti oba ír then uuola tuot thie íu uuola tuont, uuelih thanc ist íu thés? thaz tuont suntige mán.;Lc 6 33
XXXII, 6; Et si mutuum dederitis his a quibus speratis recipere, quæ gratia est vobis? nam et peccatores peccatoribus fænerant, ut recipiant aequalia.;Oba ír uuehsal gebet then fón then ír gitruuuet lón intfahan, uuelih thanc ist íu thes thanne? inti suntige mán suntigen mannon íntlihent, thaz sie ebenlih intphahen.;Lc 6 34
XXXII, 7; Et si salutaveritis fratres vestros tantum, nonne et ethnici hoc faciunt?;Inti oba ir heilezet ekkorodo íuuara bruoder, eno ni tuont thaz heidane man?;Mt 5 47
